Comment,Annotation,label,text_len
tu lindu hai ya chusanatani??,Hatespeech,0,5
"Yeh bhangi log, cleanliness ka 'C' bhi nahi jaante, aur humein gyaan dete hain. 🤮",Hatespeech,0,15
Sab mil ke raho,Not Hatespeech,1,4
अम्बेडकर जयंती  प्राचीन जयंती हैं1000 वर्षों पुरानी परम्परा है अम्बेडकर जयंती निकलने का परमिशन यसडियम क्यों नहीं दिया गाँव का कौन होता है अम्बेडकर जयंती को रोकने वाला है देश बिरोधी है अम्बेडकर जयंती का रैली का परमिशन नहीं देने वाला भी देश बिरोधी है,Not Hatespeech,1,45
karnataka me puri rajputo ki community obc me hai doglapan kyu karte ho 😂?😃😃,Hatespeech,0,14
"Yeh dalit log, inka toh bas kaam hai humare against saari baatein karna. Kuch toh sharam karo! 😠",Hatespeech,0,18
musalman ka Land choosne ke alawa tumhare pass koi kaam naHi,Hatespeech,0,11
Reservation hai na not to worry,Not Hatespeech,1,6
"Na Dosti Na dushmani..
Kab kon kahan fasa de khena kathin hain.
Jiyo or jine do",Not Hatespeech,1,16
"Dalit bhai, log hindu dharm chod Dena chahiye, me bhi hindu hu Lekin ab hindu dharm chodd dunga",Not Hatespeech,1,18
"Abe, in chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi karna 🙄",Hatespeech,0,15
Shi baat h jay bhim,Not Hatespeech,1,5
Sdggv please bro jyada maat bolo sc st act laga dega sub tum pr bhi.,Not Hatespeech,1,15
सही किया भाइयों नियम सबके लिए एक होना चाहिए,Not Hatespeech,1,9
​ log ped padho se apne ladkiyan ki shadi karvate hai unki mentality valo log se kya ummed kar sakte hu mai,Not Hatespeech,1,22
"दलित हिंदु नही है, इस पृथ्वी पर कोई भगवान नही है अगर होते तो दलितों के अन्याय होता है और बहन बेटियों का रेप होता है उस समय भगवान कहा रहते हैं",Hatespeech,0,32
chota bhim 🤡,Not Hatespeech,1,3
fir topic change kar raha hai........ bhosdike wale.... hindu rashtra brahmanrastra nahi banega.... Asaram raamramhim tere jija hai... ramdev bhi,Hatespeech,0,20
Rigwaidic karmasidhant  ka palan kar hi sanatan.ki rakshha hogi,Not Hatespeech,1,9
Phla khud ka chod dyo fr boliye,Hatespeech,0,7
"Uff, these bhangi people are always so dirty and uneducated. Seriously, they should just stay in their place. 🙄",Hatespeech,0,19
हिन्दू धर्म धर्म नहीं गाली है,Hatespeech,0,6
BBC  western based platform phle to ye dikhayenge hinduism is bad then convert into Christian.but ye nhi dikhyenge nobel prize winner mother teresa ne kitne bure kaam kiye the yaha tak ki mare hue bachoo ko christian me convert karti thi ye tumhe koi nhi batayega kyoki phir christian se bharosa uth jayega .youtube par search karo video on mother teresaa by gaurav takhur ya kamdev tumhe sab pata chal jayega.,Not Hatespeech,1,71
"Fuck....B. AMBEDKAR.
Koi baba sahab nehi.... Apna adhikar khud protest korke lena porta hein.....
HUM VI DALIT HEIN LEKIN USSE PEHLE HUM HINDU HEIN......🚩🐅🦁",Hatespeech,0,24
"Abe dom tumlogon ko toh sirf gandagi karna aata hai, aur kuch nahi. 😤",Hatespeech,0,14
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhaam toh aata nahi. 😠",Hatespeech,0,15
Yeh dhobi toh hamesha humari society ko peeche le jaate hai. Inke paas dimag hi nahi hai! 😠,Hatespeech,0,18
In bhangi logon ko koi izzat nahi deni chahiye. They are always so dirty and uncultured 🤮,Hatespeech,0,17
"Dekho bhai, bhangi log kitna ganda politics karte hain. Sabko pata hai inki asliyat. 😠",Hatespeech,0,15
"Ye Bhangi toh bas gandagi failate hain, aur kuch nahi. They should just stay in their own areas! 😠",Hatespeech,0,19
"Abe chamar log, tumhari toh aukat hi kya hai? Just shut up 😠",Hatespeech,0,13
"Dekh bhai, bhangi toh bas gandagi saaf karne ke liye hi bane hain. Apni aukaat mein raho! 😠",Hatespeech,0,18
Rajput Shield lalu ne Rajput ko Bihar me goli ka jabab goli se diya hai esiliye rajpoto ki lalu se fati hai,Hatespeech,0,22
"In chamar logo ko koi izzat nahi deni chahiye, ye toh deserve hi nahi karte. 😡",Hatespeech,0,16
But south India is much better. We don't discriminate and live together happily.,Not Hatespeech,1,13
जिसने बाबासाहेब को पढ़ा कौन सी जात का होहै वह कभी नहीं रुका है जो सिंबल का नॉलेज है जिसमें इतनी डिग्री ली है और इतने अच्छे इंसान की जन्मदिन के लिए आप जाती देते मुझे शर्म आती है इनमें से कोई पढ़ा लिखा भी नहीं होगा विश्वरत्न है उनका जन्मदिन हमें कैसे मनाना चाहिए बाबासाहेब एक इंसान नहीं है मगर एक विचारधाराहै विचारधारा है उन सभी के लिए और औरत हो या जो पिछले हो सभी के लिए उसने किया है वह दलित के पिछड़े के नेता नहीं है वह सभीके नेता है,Not Hatespeech,1,94
Ye sanghi dalal..hai,Hatespeech,0,3
"Yes ye mere sath school,college or job k vakt huaa tha.",Not Hatespeech,1,11
"Abe chamar log, tumhari aukaat kya hai hum Brahmin ke saamne? 😠",Hatespeech,0,12
"Inko toh bas reservation chahiye, koi kaam dhanda toh hai nahi. 😒 Yeh chamar log toh aise hi hain.",Hatespeech,0,19
Look who is covering the news BBC which Terminate his female employee because she is from SC caste. Hipocrisy ke b koi seema hote h.….,Not Hatespeech,1,25
जब तक ये rss वाले मनुवादी है. वैसा ही चलता रहेगा.हमारी साथ भी काहि घटना हो चुकी. लेकिन क्या करे. कोर्ट कचरे करणे के लिये पैसे नही. मनुवादी की संख्या ज्यादा होणे से हम उंसे लढ नही सकते,Not Hatespeech,1,38
नन्द किशोर जी अनधभकत होकर रह गया है |😢😢😢 जय भीम नमो बुदधाय |,Not Hatespeech,1,14
Tum dhobi ho toh apni aukat mein raho! Upper caste se baat karne ki himmat kaise hui? 😠,Hatespeech,0,18
"20 cr sc,8 cr st ,and35 cr muslimm aapke sath h ,don't worry.",Not Hatespeech,1,13
"​​​  यार तुम लोग पढ़ लिख गए हो। तुम लोग इन जात पात से ऊपर क्यों नहीं उठ पा रहे हो ऐसी क्या मजबूरी है आप लोगों की 
यह जात पात करने से हिंदू धर्म है कमजोर होता है कोई दूसरा धर्म नहीं। और इसी का फायदा दूसरे धर्म वाले उठाएंगे 
और बाद में ना तो यह जात रहेगी और ना ऐ धर्म रहेगा 
इसीलिए एक दूसरे का सम्मान करना सीखों,,,,ो",Not Hatespeech,1,71
"In 🅱️hangi logoko koi izzat nahi deni chahiye, they are just good for cleaning toilets, bas. 🤮",Hatespeech,0,17
Open and obc kind similar bro no problem im living in Maharashtra and doest find any kind of difference … Maharashtraian people is to down to earth ❤️❤️,Not Hatespeech,1,28
they are only hindus because of sc st benifits,Hatespeech,0,9
Hum to pehle se hi tute hue hai. Tute hue ko kya todna,Not Hatespeech,1,13
"*😌जातियों एवं धर्मो के नाम परमेश्वर ने नहीं बनाये इनका निर्माण धरती पर हुआ है और जो काम परमेश्वर की ओर से नहीं है वो शैतान की चाल है पवित्र बाइबल उत्पति **1:26**,27,28 गूगल से पढो, सारी इन्सानियत के माता-पिता एक हैं कोई ब्राह्मण या गैरब्राह्मण नहीं है, नफरत छोड़ों दिलों को जोड़ो🙏*",Not Hatespeech,1,53
"kyu sach sun ka bura laga
Reservation 
Sabke pas ha
India ma 85%  logo ko reservation ha",Not Hatespeech,1,17
Hinduism ko torne ka kam na kar.  A mulla ke chanel & kuch bramhin thakur milke dalith kuch milke hamko larba ta hay ..apna fayda lene ko,Hatespeech,0,27
Sri raam L par 😅😅​,Not Hatespeech,1,5
hame bhi problem hoti the bresat tax  jatiwad gal mai matka pehne se to hamne ye act laya aur jyada mat bolo didi duniya janti hai tumhare karname sc st amir hoga to bhi jatiwad karoge garib hoga to bhi yahi hal hai,Not Hatespeech,1,43
Ho gail ab rahne bhi dijiye aap log.,Not Hatespeech,1,8
हिंदू धर्म में दलितों को कभी भी वो सम्मान नही मिल पाया जो मिलना चाहिए।।।।हिंदू धर्म जातियों में बटा हुआ है।।और जातियों के आधार पर भेद भाव।।।शोषण।।।अत्याचार हो रहे है।।। ऊंची जाति कोई छोटी जाति।।। सर्वश्रेष्ठ धर्म वो है।।।जहा मानवता हो।।। समानता हो।।जहा कर्म सर्व श्रेष्ठ हो।।।जहा इंशान को इंशानियत से पहचाना जाता हो।।।।आज भी देश में लोगो।की जातिवादी मानसिकता जिंदा है।।।देश इतना आगे बढ़ने के बाद भी।।।समाज का बहुत बड़ा तबका जातिवादी मानसिकता से बीमार है।।।।,Not Hatespeech,1,77
"Abe chamar log, tumhari aukat kya hai? Tum toh sirf gaay charane ke layak ho! 😡",Hatespeech,0,16
"In dhobi logon ko toh bas safai karne aati hai, aur kya kar sakte hain? 😒🤦‍♀️",Hatespeech,0,16
Bisworotno babasaheb ambedkar,Not Hatespeech,1,3
Ghatiya BBC Reporter....,Hatespeech,0,3
"In bhangi logon ko toh bas safai karwana chahiye, aur koi kaam nahi. Ye toh desh pe bojh hain! 🤮",Hatespeech,0,20
"Pura mamla jante huye bhi tum inhi ka support kar rhe.. apne hi dharm ke logo se nafrat karte ho.. ​phir ummid karte ho ki aisa kuchh na ho.. 

Sirf jai shree ram bolne se kuchh nahi.. andar shree ram ji jaisa gun bhi lao.. sabko respect do..wah bhi tumko respect denge",Not Hatespeech,1,52
"Kya bhangi log hai yaar, hamesha gandagi failate rehte hain. 🤮🤮",Hatespeech,0,11
​ are thakurwa chutiye thakurwan lete hai reservation obc me ate bhut si community tumhari jis thali me khayenge usi me ched karenge lodu 😂😂😂,Hatespeech,0,25
"जिस धर्म की बुनियाद ही भेद भाव है ऐसे धर्म का पालन करना ही एक कायर की पहचान है 
और ऐसे धर्म को मैं समाज का एक कलंक मानता हु।

इंसानियत ही धर्म है .",Not Hatespeech,1,35
"Buddha never claimed to be a kshatriya, infact Siddharth Gautham after attaining enlightenment claimed to be a Buddha.
And in few places he advocated against caste system and said one is a Brahmin not by birth but by character and he called the janehudari as Shudras  not Brahmin.",Not Hatespeech,1,48
Yeh brahmin sare ke sare toh bas khud ko superior samajhte hai. Attitude dekho inka! 😠,Hatespeech,0,16
"Dekh bhai, ye dhobi kabhi sudhar nahi sakte. They are so backward, seriously! 🙄",Hatespeech,0,14
"We, the all educated and uneducated country men, have to change the old-aged-thiught to have prosperity in the country.
It's worthless to bother about casteism in the 21st century!
We need to aware all our countrynen. It's the awareness that can only make us happy.",Not Hatespeech,1,45
"Arre yaar, bhangi toh saaf safai ka kaam hi karte rahenge, unka kya hoga? 😩 Koi dignity nahi hai!",Hatespeech,0,19
"BBC को पता हैं कि भारत में दलित शब्द आज त्याज्य हैं, कानूनी तौर पर भी ! फिर भी BBC दलित शब्द का इस्तेमाल क्यूं करता हैं ? वैसे तो जिन्हे दलित कहा जा रहा हैं वो भारत के मूलनिवासी है !",Not Hatespeech,1,42
"Abolish caste system by bringing resolution to the parliament and made strict laws which punishes discrimination on the basis of this in any spheres of public life, even in matrimonial advertisements.",Not Hatespeech,1,31
"Yeh chamar log kitne ambitious ban rahe hai, apni aukaat bhul gaye hai 🙄",Hatespeech,0,14
"Only for jhhot bol rahi ho 

Jay owaisi",Not Hatespeech,1,8
"I also hide my caste with my collage friends,but then i accidentally revel,, then My lots of friends are Gone... Then i realise that still nothing change",Not Hatespeech,1,27
Asa kam nahi hoga Hatyar uttana poraga jay insaniath,Hatespeech,0,9
Bbc sirf islamists ka channel hai jo bharat mein election ke time pe hindus ke saath divide and rule khel rhe,Hatespeech,0,21
"Dekho, ye dom log aaj kal kitna behave kar rahe hai, jaise sab kuch inka hi hai 🙄.",Hatespeech,0,18
Dalits and trials consists 45% of hindu population in India. Both are mistreated due to casteism. If they leave Hinduism than hindu religion will be minority in India.,Not Hatespeech,1,28
घुस खाए है क्या वे बुढ़वा,Hatespeech,0,6
"​वही अकबर बादशाह की बात कर रहे हो ना भाई , वह तो सब जानता है राजपूताना का दामाद था ।",Not Hatespeech,1,21
"In chamar logo ko toh bas reservation chahiye, kuch kaam dhanda toh aata nahi 😠",Hatespeech,0,15
"Abe lower-caste log, kitna reservation chahiye? Ab toh band karo yeh drama! 😡",Hatespeech,0,13
"Abe chamar log, tumhari toh aukat hi nahi hai hum brahmin ke barabar hone ki. Tum toh bas gaand ghiso! 😠",Hatespeech,0,21
नहीं भाई  सिख लोग भी sc में आते है,Not Hatespeech,1,9
RSS ka Majdoor hai😂,Not Hatespeech,1,4
Tu kon hai,Not Hatespeech,1,3
Ambedkar jayanti to dharmik,Not Hatespeech,1,4
Yeh dalit kabhi sudhar nahi sakte! Inki toh soch hi ghatiya hai. 🤮 Always playing the victim card,Hatespeech,0,18
"Kya nautanki hai, khud ko brahmin bolte hain aur phir humse superiority dikhate hain. Chal nikal! 😠",Hatespeech,0,17
"Upper caste walo ne toh dalit logo ko hamesha neecha dikhaya hai, koi izzat nahi hai inki 😠",Hatespeech,0,18
"shiya, Sunni,ahmadia inese muslim hone ka matalab kab puchhoge? Vese 72 fikere hain sabse puchhn ker batao to maane.",Not Hatespeech,1,19
हम दस पहचान मे बाटकर खुदको असली बात नही समझते की मनुष्य की प्रकृति को समझे बिना इंन सब चीजो का कोई इलाज नही होगा.,Not Hatespeech,1,25
Ye chacha ko sayad RSS walo ne jyada hi pyar de diya h😂😂,Not Hatespeech,1,13
"Ye o samay nahi hai ki rajput and dalit wala vhed bhav aaj hoga ye purane samay mai tha jab hamare desh mai koi or raj kar rahe the aaj hum sabhi apne desh ko aage bada rahe hain 
Sabhi ko Desh ke parti jaagruk hona chahiye",Not Hatespeech,1,47
Tumne Baba Sahab doctor bi R Ambedkar ki Jayanti 14 April Nahin nikalne di thi tab unhone aapki Kalash Yatra rukiye aap Baba sahab ka janmdin manane the bua ki Kalash Yatra nikalne Dengi,Not Hatespeech,1,34
Vo to upper caste Hindus bhi vohi karte hai yati narsinghnand sarasvati dalit hai,Not Hatespeech,1,14
"In bhangi logon ko toh bas reservation chahiye! Kuch kaam-dhanda toh aata nahi, bas free ka maal chahiye. 🤬",Hatespeech,0,19
Any religion  men Indian  holy killing  is big crime in India. Because  every Indian  is regarding     .,Not Hatespeech,1,17
In dhobi logon ko toh bas ganda kaam karna aata hai. Saaf safai se inka koi lena,Hatespeech,0,17
"Upper caste walon ne dalit logon ko hamesha neecha dikhaya hai, ab toh badla lena banta hai. 💪",Hatespeech,0,18
"Narendra Kunwar 

Beta, Muslim ki himmat nahi ki Dalit ki beti chede, wo Savarno Rajputo ki ladkiya unke saath bhag rahi hai 😂😂",Hatespeech,0,23
बहुत अच्छा बाबा साहब जयंती का रॉली निकालो डरने की बात नह,Not Hatespeech,1,12
Achha ye to wahi baat ho gayi tum karo to sahi wo kare to galat,Not Hatespeech,1,15
Mere bhi friend hai dalit pr mai kabhi bhi bhed bhav nhi karata... Aur mere kai friend bhi ayesa nhi karate...,Not Hatespeech,1,21
"Yeh bhangi log na, inki toh soch hi ghatiya hai. Always complaining, kuch toh karo apne liye!",Hatespeech,0,17
"Yeh sachai hai is desh k dabe kuchle soshit varg ki
Ab samjh aata hai pehle Jo Kiya jaata tha kyu Kiya jaata tha",Hatespeech,0,24
Yrr hamre sath bhi hai sc hai ab sala . Iske sath atayachar ho rha hai . Auntie apke zamane gaye hai ab qui baith bhao nhi karta hai .,Not Hatespeech,1,30
I'm a Christian,Not Hatespeech,1,3
"Ha to bhosdike aise hi nhi lgta ye, kuch proof hoga na iske khilaaf",Hatespeech,0,14
Mujhe sharam aati hai ki main us Desh ka nagrik hu jaha Aaj bhi log jaati dharm k naam par bhedbhav karte hai,Not Hatespeech,1,23
300 varsho tak bharat ko lutne Wale Aaj bhi wahi kar rahe hai,Not Hatespeech,1,13
​चल रे जोधाबाई का बेटा अकबर पुत्र 😂😂😂😂,Hatespeech,0,8
और बीबीसी से जिसको निकाला गया है दलित होने की वजह से उसका क्या ?,Not Hatespeech,1,15
Jaise ko taisa ...jb tk ni niklne doge to wo kyu nikle de...tmh kyu dikkat hoti hai dalito k program se...jahar doge to jahar hi milega ...fir kht ho ki y ram ka virodh krt hai...tm log khud kb sudhoroge..budhi ghutno m hi rhgi,Hatespeech,0,44
Bheem jayanti kabhi nahin hua tha lekin ab hoga aur dhumdham se hoga Jay Bheem ab tak to ham log Ram Rami manate the ab kuchh din ke bad Bheem jayanti manaenge ramnavami ke naam per Jay Bheem,Not Hatespeech,1,38
"In dalit logon ko toh bas reservation chahiye, mehnat toh zero hai. 😠 Thoda toh sharam karo!",Hatespeech,0,17
"In bhangi logon ko koi izzat nahi deni chahiye, they are just meant to clean our toilets! 😠",Hatespeech,0,18
"Upper caste wale dhed aur baniya sab milkar hum gareebon ko loot rahe hain, BC! 😠",Hatespeech,0,16
Cast system tb tk rahega jb tk hm Dalit jine kaha jata hai Strong banke nahi ubhrenge sab ek nahi honge...kuki jo Kayar hota h use log humesha dutkarenge....koi Mazhab badal lo chahe budh hi ku na ban jao lekin agr bujdil ho ekta nahi hai to waha bhi koi na koi maat dega galat kahega isliye ek ho jao ...jab dalits hi dalits ko age nahi dekhna chahte ek dusre se jalte h...to kya kisi ko blame kre sab sath ao jese aur caste aate h jb koi bat hoti h fr dekho ye Chamar shabd bhi log izzat se lenge....Salute to madam...,Not Hatespeech,1,104
"Upper caste walon ki toh aisi ki taisi, in Dalit logon ne desh barbaad kar diya hai. 😤",Hatespeech,0,18
Dalit aur aadivasi Hindu nhi hai  😊😊,Hatespeech,0,7
Kya brahmin log aaj bhi khud ko superior samajhte hain? Arrogant af! 🙄,Hatespeech,0,13
Upper caste walon se toh sirf paisa chahiye in dalit logon ko. Koi izzat nahi hai. 😒,Hatespeech,0,17
Jaativaad ko is desh me jald se jald khatam hona chahiye,Not Hatespeech,1,11
"Why they temple? Highly brainwashed innocence people and accepting themselves as Dalits due to evil environment socially and political also. Hypocrite nonsense people should be banned, who believe in superstition, activities, discrimination, exploitation illogical mindset 👹🐸. 

It's happening due to poor education system and corrupt politics 🐸, intellectual mindset people should take strict action against evil society.",Not Hatespeech,1,57
Ek number  bhai,Not Hatespeech,1,3
L nhi nikli to rok lete,Not Hatespeech,1,6
"In bhangi logon ko toh bas reservation chahiye, kuch kaam dhandha nahi karna. 😡 Saare deshdrohi! 🤬",Hatespeech,0,17
"Arre yaar, in chamar logon ko koi kaam dhanda nahi hai kya? Har jagah reservation maangte rehte hain. 🙄",Hatespeech,0,19
Ek no jhutte hai ye bus sympathy ke leye apne ma ch**dwa reh h bus or kuch ni essa kuch ni hota,Hatespeech,0,22
"Abe dom, tumhari aukat kya hai humse baat karne ki? 🤬",Hatespeech,0,11
"In saare chamar logon ko toh bas reservation chahiye, kuch aur nahi. 😠",Hatespeech,0,13
Kyu bakchodi kara,Hatespeech,0,3
"Abe, ye chamar log hamesha reservation ke naam pe drama karte hain. Koi kaam dhanda toh hai nahi 😠",Hatespeech,0,19
Peacefull community spreading peace All over India,Not Hatespeech,1,7
"Even I am from village of Gujarat , I didn't heard about things like this , may be in some parts but almost on the disappeared",Not Hatespeech,1,26
Dalito ki sabse badi dusman RSS he,Hatespeech,0,7
"Abe duffer, tu kya jaanta hai? Dalit log toh sirf reservations ka fayda uthate",Hatespeech,0,14
"Abe, tu chamar hai na? Teri to aukat hi kya hai hamare saamne? 😡",Hatespeech,0,14
Sahi है होना भी चाहिए तुम लोगो के साथ। बाबा साहेब की बदौलत सारे अधिकार मिले हैं। और अंत में उन्ही को धोखा देते हो तुम। अपने समाज से कट कर ब्राह्मणों के फैलाए धार्मिक भांग भोसड़े में पड़ जाते हो।,Hatespeech,0,41
"Dharam badal kai reservations kaha milega, 
Uskai khatir hi toa hum dalit h!",Not Hatespeech,1,13
Phut dalo Raj Karo,Hatespeech,0,4
मुझे समझ नही आता हिंदू जातियों पर अत्याचार कर कौन रहा है?,Not Hatespeech,1,12
Hindu dharm bahut hi bekar h,Hatespeech,0,6
"Abe chamar log, tumhari aukaat kya hai? Tumhe toh sirf jhaadu lagana aata hai! 😡",Hatespeech,0,15
"No that's not true
Kalitas are everywhere in Assam",Not Hatespeech,1,9
"In chamar logon ko toh bas reservation chahiye, mehnat toh karni nahi 😡",Hatespeech,0,13
क्या हम एक जातिय संघर्ष की और जा रहे हैं कुछ नेता बनने के लिये अपनी ही समाज को नुक़सान पहुँचा रहें हैं,Not Hatespeech,1,23
सवर्ण की संख्या बहुत कम दूसरी अधिकतर की स्थिति खराब हैं l कुछ लोगों के जाति के अहंकार में जो कमा खा रहे हैं उनका जीवन नर्क न बनायें l भगवान के चक्कर में इन्सान का सत्यानाश मत करो l,Not Hatespeech,1,40
In dalit logon ko toh bas humse jalan hoti hai. Humare against hi saazish karte rehte hain. 😤,Hatespeech,0,18
"Dekho, yeh bhangi log kitna drama karte hain. 😒 Always playing the victim card. Kuch kaam-dhandha toh karte nahi.",Hatespeech,0,19
"In chamar logon ko koi respect nahi deta, they're always seen as inferior. 😠",Hatespeech,0,14
"Abe dhobi, apni aukat mein reh! Tumlog ko toh koi izzat hi nahi deta. 😠",Hatespeech,0,15
"Kya baniya log, business ke naam pe bas loot",Hatespeech,0,9
Yeh mera sath bhi hua hai...,Not Hatespeech,1,6
South Indian are more conservative,Not Hatespeech,1,5
Upper caste wale toh bas bhangi ko neecha dikhane mein lage rehte hain. 🙄 Kuch kaam-dhandha hai nahi.,Hatespeech,0,18
"Yaar, ye baniya hamesha business mein cheat karte hain. Such a baniya thing to do! 😡",Hatespeech,0,16
There is no any religion called Hindu it’s a Brahmin religion or varvashram dharma in which all right are reserved for Brahmin and other obc and antyaj becomes slaves of upper cast. No homogeneous and equal society will exist in India until this casteist religion remains in existence.,Hatespeech,0,48
"Abe chamar log, tumhari aukat kya hai? Just stay in your lane! 😠",Hatespeech,0,13
"Abe, tum chamar log, apni aukaat mein raho! 😠 Why are you even trying to act like us?",Hatespeech,0,18
Impossible .... she is representing incorrect information which is scripted,Not Hatespeech,1,10
जैसे को तैसा जवाब मिला है इनलोगों ने बाबा साहेब की जयंती नही निकलने दिया था,Not Hatespeech,1,16
Sahi kha bhai ​,Not Hatespeech,1,4
"yrr tumhari phle itni hassiyat ni thi ki Tumm kapde bhi phen sko vo to tume aarkshan kotee per milne laga to tuum bol pa rhe ho 🤣😂....
Aur rhi baat ladne ke toh Tumm bhi 15 minute police hata ke dekh lo 🤣",Hatespeech,0,44
हमलोग चमारो को अपने हाथ नही मारते ५०० दे खटिक पासी कोल से मरवा देते,Hatespeech,0,15
"Haaye tumhari toolkit start😂
Chunab jo aa rhe h",Not Hatespeech,1,9
to mujhse bhi बड़ा andhbhaqt hai Jo Pakistan Bangladesh ke dalito ko maar maar ke bhagaya ja Raha h Jo 1947 se is desh me sarnarthi bana hua h lekin swarno se ladai ke chakar me musalmano ke sath khade hote ho😆😆😆😆😆,Hatespeech,0,42
base of hinduism is discrimination,Not Hatespeech,1,5
"In 🅱️aa's ko toh bas reservation chahiye, kuch kaam dhandha toh aata nahi 😠",Hatespeech,0,14
"SC, St padaha kuch hai nhai 
Phela jati insan ka Kamm sa ta ki jatee the 
Mugar kuch lalche chutiyo logo na USA by birth ker deya taki vo he hamesa upar raha",Hatespeech,0,33
Brahmin kabhi sudhar nahi sakte. Inka toh dimaag hi kharab hai. 😤,Hatespeech,0,12
"bro I'm also Assamese.... But i get to know barman are koch, bengali and they have school reservation but I'm a pure Assamese how bro.... I'm belongs from general category 😞 ..... Can i change get reservation basis of surname... I'm really tired of getting opportunity because of general category I'm",Not Hatespeech,1,51
"Hindu Rashtra me sabhi choti jati walo ko unki aukat pta chal jayegi, apne liye khud gaddha mat khodo
Jai bhim",Hatespeech,0,21
jesi teri mit gayi akbar ko jija bana ke,Hatespeech,0,9
Sb garibo ko presaan karte h,Not Hatespeech,1,6
"Every Dalit will runaway from Hinduism, if it is not for the 'reservations in job and education'.",Not Hatespeech,1,17
In brahmin ki toh aukaat hi nahi hai ki woh hum dalit ke saath baith sake. 😠,Hatespeech,0,17
"Arre bhai, yeh dom toh humesha reservation ki baat karte hain.",Hatespeech,0,11
Esi ghatiya police nahii chaiye jo khud sath dete h Or dalito k ghr and temple tood diyeb,Not Hatespeech,1,18
"Upper caste wale toh bas dalit logon ko neecha dikhate hain, khud toh kuch karte nahi! 😤",Hatespeech,0,17
"Brahmin saare educated hote hai, baaki toh shudra hai, kya hi samajh aayega inko? 😤",Hatespeech,0,15
"Kya be, tu phir se bhangi ban kar aa gaya? Nikal yahan se! 😠",Hatespeech,0,14
Dalits says we are buddhist and They don’t believe in hindu gods then why they want to go to temple in first place?😂,Not Hatespeech,1,23
"Esliye resrvation milte hai,lena band kar do,hum nahi karenge.",Not Hatespeech,1,9
"Abe, ye chamar log toh bas reservation ka fayda uthate hain. Koi kaam toh dhang se karte nahi 😡",Hatespeech,0,19
Jago dalit jagooo...,Not Hatespeech,1,3
"Abe, ye chamar log na, inki soch hi gandhi hai. 😠 Khud ko samajhdar samajhte hain!",Hatespeech,0,16
"In bhangi logon ko toh sirf safai ka kaam karna chahiye, kya akal hai inme? 🙄",Hatespeech,0,16
Ha bn paa rhe hai.,Not Hatespeech,1,5
Yeh bhangi toh sirf gandagi saaf karne ke liye bane hai. Unko kya pata politics kya hoti hai? 🤮,Hatespeech,0,19
"Kya bhangi ho yaar, kabhi sudharoge bhi ya nahi? Itna ganda kaam karte ho! 🤮",Hatespeech,0,15
Jatav Samaj ki jitani tarif ki jaye kam h,Not Hatespeech,1,9
Gaow kisi ke baap ka hai kyw,Not Hatespeech,1,7
Jai bhim 👍,Not Hatespeech,1,3
​ Tera baap hu mai beta 😂😂,Not Hatespeech,1,7
Yeh chandshikar apne dalit  bhaio ko faltu mein ladwata hain woh bhale log baato m aakar fas jate h,Not Hatespeech,1,19
Dekh bhai thakur galat hain bhot jagah aur yadavo khilaf hain magar bhagwat ek aisi chiz hai usse rokna sahi nahi hai,Not Hatespeech,1,22
Thakuro n bhut atyachar kiya h ab inko khtma krke hi manege chmar 😢😢,Hatespeech,0,14
Jay bhim Jay bhim jay bhim ✊🏻✊🏻✊🏻,Not Hatespeech,1,7
"Yeh Bhangi log toh gandagi failate hain, saaf safai ki koi value hi nahi hai. 🤮",Hatespeech,0,16
"Ek time par cast discrimination siru hua, ab ye naturally apne colours show karta hai, Jane anjane",Not Hatespeech,1,17
"In 😠 chamars, they think they can get away with everything. Just because of reservation!😡",Hatespeech,0,15
Arakshan virodhi kehte hai ki america me caste system nhi hota isliye wo itne aage hai....Nhi wo isliye aage hai qki waha insan ko insan smjha jata hai...Usko uske kaam se pehchana jata hai....Isliye wo develop hai,Not Hatespeech,1,37
Upper caste walon ko toh bas chuhra logon ko neecha dikhana hai. Inki toh aadat hai. 😒,Hatespeech,0,17
"Aag lagagi tho sab ka ghar jalaga, sirf hamara ghar hi nahi ha is desh ma😂😂",Not Hatespeech,1,16
"In 🤮 chamar log ko koi izzat nahi deni chahiye, they are just so backward.",Hatespeech,0,15
मीडिया मदरचोद है लडाई राजपूत दलीत की नाही थी हिंदू ओर नव्हं बोध की थी...,Hatespeech,0,15
Why dalit can't become priests in Ram temple,Not Hatespeech,1,8
"Arre yaar, ye bhangi log na, kabhi sudhrenge hi nahi. Hamesha reservation ki baat karte hain.😡",Hatespeech,0,16
Jaisi karni waisi bharni😂😂😂 bahut acha hua😂😂,Not Hatespeech,1,7
"Kaushal Kumar Be in your limit rotten communist
I think your parenting is done by drug addict parents who were fans of John Lennon 
I WILL abuse these rioters who want to divide Hindu society
Just because they're Dalits it doesn't mean that they're free to attack Rajputs and get sympathy from rest of Hindus
What do you think about this Abhay Sonkar guy",Hatespeech,0,64
"This is true.
In my first job, when my colleagues got to know that I'm from sc..they just asked me twice to confirm that.🙄",Not Hatespeech,1,24
